time,MAC address,pi1,pi2,pi3,pi4,pi5,x,y,floor
2020-02-21 14:46:19.758420,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-150,-150,-150,-150,-39,168,77,0
2020-02-21 14:46:29.547854,bd2db0c246d6580ccdabf6039ad0adb4c7272e662820b053717890a92d3a7ae0,-59,-150,-150,-150,-150,218,40,0
2020-02-21 14:46:39.089629,a0eafa70e338fa2ee79b7a08498e3ca51a76a01a1216b9376d5e4cd979dd22cc,-150,-150,-150,-150,-59,140,75,0
2020-02-21 14:46:38.623314,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-150,-67,-150,-57,-37,189,89,0
2020-02-21 14:46:57.516581,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-65,-150,-150,-67,-150,194,87,0
2020-02-21 14:46:53.397757,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-150,-69,-150,-55,-39,163,80,0
2020-02-21 14:47:06.455448,d06cc7cc8150ae26f10a122a00fb133210a086da50cf2f1fec2a993a76adb598,-150,-150,-73,-150,-150,176,68,0
2020-02-21 14:47:12.898082,8549f3bf4e0090ffb715972fef4ac218081b2aca23c5e99442c2606d2af56426,-150,-69,-150,-150,-150,125,101,0
2020-02-21 14:47:10.409076,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-150,-150,-65,-150,-150,169,79,0
2020-02-21 14:47:24.361968,5dbc897b24e40f42ef1c9c81383046dc4f2b428a3c33c611768048e4e417e9d2,-67,-150,-150,-75,-150,213,96,0
2020-02-21 14:47:37.663716,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-69,-67,-150,-61,-69,168,80,0
2020-02-21 14:47:40.557818,ec5a9c96edbbcb6cb35e9b945ddaee2fee4a75551d75e77fb7aa3b4de12e2c65,-150,-150,-71,-150,-150,173,50,0
