2019-09-12T11:10:02.847530	48A195747FF0	-65	Apple, Inc.
2019-09-12T11:10:02.861704	48A195747FF0	-65	Apple, Inc.
2019-09-12T11:10:14.951629	081196CF1DA8	-53	Intel Corporate
2019-09-12T11:10:14.963859	081196CF1DA8	-53	Intel Corporate
2019-09-12T11:10:14.972311	081196CF1DA8	-53	Intel Corporate
2019-09-12T11:10:18.312407	9C305BC1389F	-77	Hon Hai Precision Ind. Co.,Ltd.
2019-09-12T11:10:19.296738	9C305BC1389F	-77	Hon Hai Precision Ind. Co.,Ltd.
2019-09-12T11:10:19.346099	9C305BC1389F	-77	Hon Hai Precision Ind. Co.,Ltd.
2019-09-12T11:10:30.460245	80000B0E565A	-57	Intel Corporate
2019-09-12T11:10:30.472805	80000B0E565A	-57	Intel Corporate
2019-09-12T11:10:30.526137	80000B0E565A	-51	Intel Corporate
2019-09-12T11:10:30.539475	80000B0E565A	-51	Intel Corporate
2019-09-12T11:10:30.548060	80000B0E565A	-51	Intel Corporate
2019-09-12T11:10:31.983139	0023A74337DD	-77	Redpine Signals, Inc.
2019-09-12T11:10:32.035974	EA894682D183	-45	null
2019-09-12T11:10:32.049343	EA894682D183	-45	null
2019-09-12T11:10:34.885684	C4D987109A32	-39	Intel Corporate
2019-09-12T11:10:36.391848	C4D987109A32	-41	Intel Corporate
2019-09-12T11:10:36.404341	C4D987109A32	-41	Intel Corporate
2019-09-12T11:10:36.415043	C4D987109A32	-47	Intel Corporate
2019-09-12T11:10:36.649879	247703F81A24	-61	Intel Corporate
2019-09-12T11:10:36.661070	247703F81A24	-59	Intel Corporate
2019-09-12T11:10:36.669964	247703F81A24	-59	Intel Corporate
2019-09-12T11:10:44.767451	9CB6D0DFE46F	-73	Rivet Networks
2019-09-12T11:10:45.604030	247703F81AA8	-47	Intel Corporate
2019-09-12T11:10:45.618631	247703F81AA8	-47	Intel Corporate
2019-09-12T11:10:45.627295	247703F81AA8	-47	Intel Corporate
2019-09-12T11:10:45.635900	247703F81AA8	-47	Intel Corporate
2019-09-12T11:10:51.708464	04EA56FE6CEE	-77	Intel Corporate
2019-09-12T11:10:51.720485	04EA56FE6CEE	-77	Intel Corporate
2019-09-12T11:11:14.818109	081196CF1DA8	-55	Intel Corporate
2019-09-12T11:11:16.429752	081196CF1DA8	-55	Intel Corporate
2019-09-12T11:11:16.446382	081196CF1DA8	-53	Intel Corporate
2019-09-12T11:11:16.455260	081196CF1DA8	-55	Intel Corporate
2019-09-12T11:11:16.463844	081196CF1DA8	-55	Intel Corporate
2019-09-12T11:11:16.479004	B827EB00ACF1	-63	Raspberry Pi Foundation
2019-09-12T11:11:16.489131	B827EB00ACF1	-63	Raspberry Pi Foundation
2019-09-12T11:11:16.499156	B827EB00ACF1	-65	Raspberry Pi Foundation
2019-09-12T11:11:30.462671	80000B0E565A	-61	Intel Corporate
2019-09-12T11:11:30.526525	80000B0E565A	-53	Intel Corporate
2019-09-12T11:11:30.539640	80000B0E565A	-53	Intel Corporate
2019-09-12T11:11:30.548248	80000B0E565A	-51	Intel Corporate
2019-09-12T11:11:34.895331	C4D987109A32	-39	Intel Corporate
2019-09-12T11:11:34.907545	C4D987109A32	-41	Intel Corporate
2019-09-12T11:11:34.916118	C4D987109A32	-39	Intel Corporate
2019-09-12T11:11:36.573812	EA894682D183	-47	null
2019-09-12T11:11:36.586616	EA894682D183	-45	null
2019-09-12T11:11:36.646918	247703F81A24	-57	Intel Corporate
2019-09-12T11:11:36.657180	247703F81A24	-57	Intel Corporate
2019-09-12T11:11:36.665679	247703F81A24	-57	Intel Corporate
2019-09-12T11:11:39.442347	30D9D963D094	-81	Apple, Inc.
2019-09-12T11:11:39.455076	30D9D963D094	-77	Apple, Inc.
2019-09-12T11:11:45.538557	247703F81AA8	-65	Intel Corporate
2019-09-12T11:11:45.551069	247703F81AA8	-65	Intel Corporate
2019-09-12T11:11:45.602993	247703F81AA8	-61	Intel Corporate
2019-09-12T11:11:45.612557	247703F81AA8	-63	Intel Corporate
2019-09-12T11:11:45.622576	247703F81AA8	-63	Intel Corporate
2019-09-12T11:11:45.631208	247703F81AA8	-63	Intel Corporate
2019-09-12T11:11:51.923994	04EA56FE6CEE	-75	Intel Corporate
2019-09-12T11:11:51.936903	04EA56FE6CEE	-75	Intel Corporate
